,time,longitudeStdDev,numSatsMulti,groupMetadataID,numSatsTracked,latitudeStdDev,differentialAge,longitude,solType,solutionAge,solStatus,latitude,numSatsInSolution
0,1686166916038955071,0.016096447,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012917788,1,-82.09565991430246,NARROW_INT,0,SOL_COMPUTED,39.35547522348043,13
1,1686166969036984185,0.0152481655,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013715431,1,-82.10544470608843,NARROW_INT,0,SOL_COMPUTED,39.361984261371354,14
2,1686166870037381221,0.014505343,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.012888557,1,-82.0863371649216,NARROW_INT,0,SOL_COMPUTED,39.35059947400499,13
0,1686166931040700511,0.014907507,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012994432,1,-82.09924218761891,NARROW_INT,0,SOL_COMPUTED,39.35734349619809,13
1,1686167018036476107,0.012781171,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011695004,1,-82.10562734031372,NARROW_INT,0,SOL_COMPUTED,39.36259991625077,17
2,1686166981037257526,0.013009927,15,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.011868533,1,-82.10578535814682,NARROW_INT,0,SOL_COMPUTED,39.36226094452914,16
0,1686166929039185240,0.016329285,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.014480691,1,-82.09876553202797,NARROW_INT,0,SOL_COMPUTED,39.35709429581749,12
1,1686166884043524646,0.017180325,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,10,0.019447455,1,-82.08899285942088,NARROW_INT,0,SOL_COMPUTED,39.35200360525672,10
2,1686166939037565819,0.013184086,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012567553,1,-82.1010562690209,NARROW_INT,0,SOL_COMPUTED,39.35829443024379,13
3,1686166994052326157,0.013551264,15,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012327926,1,-82.10562936849762,NARROW_INT,0,SOL_COMPUTED,39.36259698438156,16
0,1686167017057388798,0.012798002,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011688238,1,-82.10562730326897,NARROW_INT,0,SOL_COMPUTED,39.36259994191968,17
0,1686166890037555520,1.3011773,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,1.3131806,2,-82.09013246567719,PSRDIFF,0,SOL_COMPUTED,39.35259577111379,11
1,1686166919034740994,0.01402511,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012589832,1,-82.09638255564835,NARROW_INT,0,SOL_COMPUTED,39.355852883650705,13
2,1686166911034617631,0.01597176,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.01307823,1,-82.09450725677054,NARROW_INT,0,SOL_COMPUTED,39.354874710789204,12
0,1686167028035938454,0.012389337,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011968863,1,-82.10562731430285,NARROW_INT,0,SOL_COMPUTED,39.36259996393413,17
1,1686166959036548197,0.013124415,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011899322,1,-82.10465851786039,NARROW_INT,0,SOL_COMPUTED,39.360747457825376,13
2,1686166874039042797,0.014650442,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.013055204,1,-82.08711704943045,NARROW_INT,0,SOL_COMPUTED,39.35102793927643,14
0,1686166875036027661,0.014726414,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.01309479,1,-82.08728403852365,NARROW_INT,0,SOL_COMPUTED,39.35111449173918,14
1,1686167022044211850,0.011980623,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.01147719,1,-82.10562732820662,NARROW_INT,0,SOL_COMPUTED,39.36259993835247,17
2,1686166924034152019,0.014331037,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.013262964,1,-82.09757459900241,NARROW_INT,0,SOL_COMPUTED,39.356474486097696,12
3,1686166921037893916,0.01407173,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012634239,1,-82.0968615805132,NARROW_INT,0,SOL_COMPUTED,39.3561024778024,12
4,1686167026038715192,0.0120721655,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011586569,1,-82.10562731683198,NARROW_INT,0,SOL_COMPUTED,39.36259999447083,17
5,1686166891035142471,1.2584072,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,1.2793262,2,-82.09028529624632,PSRDIFF,0,SOL_COMPUTED,39.3526798305802,11
0,1686166946036681266,0.012780359,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012061638,1,-82.10259071866913,NARROW_INT,0,SOL_COMPUTED,39.35913760361274,13
1,1686166905034603650,0.016024042,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,9,0.015105335,1,-82.09320847593303,NARROW_INT,0,SOL_COMPUTED,39.35420257003795,9
2,1686167019043726470,0.01212411,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011610726,1,-82.1056272973313,NARROW_INT,0,SOL_COMPUTED,39.36259993939361,17
0,1686166864077051217,0.017091464,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.015546421,2,-82.08507128293064,NARROW_INT,0,SOL_COMPUTED,39.34975440928347,11
1,1686166993039526689,0.01339617,15,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012189343,1,-82.1056295555795,NARROW_INT,0,SOL_COMPUTED,39.36259676043717,16
2,1686166932045136584,0.014773309,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012870864,1,-82.09948070677311,NARROW_INT,0,SOL_COMPUTED,39.357466334161266,12
3,1686166906040019155,0.016192304,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,9,0.01514377,1,-82.09342666680553,NARROW_INT,0,SOL_COMPUTED,39.354315206696384,9
0,1686166962044236570,0.013845267,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.012444674,1,-82.10490324925163,NARROW_INT,0,SOL_COMPUTED,39.36118047513139,14
1,1686166872044963285,0.014669754,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.013113288,1,-82.08673427417068,NARROW_INT,0,SOL_COMPUTED,39.350827792169454,15
2,1686166933038054904,0.014663868,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012773617,1,-82.09971594225435,NARROW_INT,0,SOL_COMPUTED,39.357589047031794,12
3,1686166956038792936,0.01282054,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011628701,1,-82.1043357042146,NARROW_INT,0,SOL_COMPUTED,39.36032048784523,13
0,1686166985034849085,0.01402085,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.012838947,1,-82.10576826864816,NARROW_INT,0,SOL_COMPUTED,39.3624447992508,13
1,1686166910034760660,0.016310092,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.0143240485,1,-82.09429306247405,NARROW_INT,0,SOL_COMPUTED,39.3547625783585,12
0,1686166923036725121,0.014076155,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.012992953,1,-82.09733777013294,NARROW_INT,0,SOL_COMPUTED,39.356350442975526,13
1,1686166880042858311,0.014991126,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.014018625,1,-82.08816604282504,NARROW_INT,0,SOL_COMPUTED,39.351576793693035,15
2,1686166917042854215,0.01608145,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.01294338,1,-82.09590057085677,NARROW_INT,0,SOL_COMPUTED,39.35560127822087,13
3,1686166903034143004,0.015496727,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,10,0.014537206,1,-82.09277051763499,NARROW_INT,0,SOL_COMPUTED,39.35397578301531,10
0,1686166992041954546,0.013238712,15,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.01206985,1,-82.10562954199506,NARROW_INT,0,SOL_COMPUTED,39.36259674849002,16
0,1686166892045918786,1.190509,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,1.2142712,2,-82.09045373900969,PSRDIFF,0,SOL_COMPUTED,39.35276496626882,11
1,1686167015037046809,0.012739639,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011704065,1,-82.10562734649908,NARROW_INT,0,SOL_COMPUTED,39.362599918031606,17
2,1686166878039937428,0.015548199,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.014240279,1,-82.0877902741361,NARROW_INT,0,SOL_COMPUTED,39.351382519892425,14
3,1686166901034393595,0.01372618,9,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,0.013634499,1,-82.09233723512165,NARROW_INT,0,SOL_COMPUTED,39.353749707604244,9
4,1686166876073651617,0.01590311,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.014379819,2,-82.08744679675975,NARROW_INT,0,SOL_COMPUTED,39.35120018448428,14
0,1686166983047496306,0.013404609,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012218954,1,-82.10581451975352,NARROW_INT,0,SOL_COMPUTED,39.3623434916875,15
1,1686166885038026145,0.2670093,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,2,0.17332916,1.3,-82.08905664302222,NARROW_INT,0.7,INSUFFICIENT_OBS,39.35203686041206,0
2,1686166984037418640,0.013382415,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012240412,1,-82.10579891754188,NARROW_INT,0,SOL_COMPUTED,39.36239493927232,14
0,1686167016036851346,0.012816916,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.0117136445,1,-82.10562737474504,NARROW_INT,0,SOL_COMPUTED,39.36259995095024,17
1,1686166934037175686,0.014602377,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012688519,1,-82.0999463071532,NARROW_INT,0,SOL_COMPUTED,39.3577099637593,12
0,1686167021058026081,0.0130922645,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012476932,2,-82.10562733065524,NARROW_INT,0,SOL_COMPUTED,39.36259990583227,17
1,1686166980035785841,0.013009456,15,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.0117881615,1,-82.10576215512812,NARROW_INT,0,SOL_COMPUTED,39.36223913805015,16
2,1686167014035924234,0.012608121,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011638763,1,-82.10562735548186,NARROW_INT,0,SOL_COMPUTED,39.362599933892525,17
0,1686166951036284182,0.013960273,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013119641,1,-82.1035663671383,NARROW_INT,0,SOL_COMPUTED,39.35971407759056,13
1,1686166971035816171,0.0148431435,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.013338254,1,-82.10558673896871,NARROW_INT,0,SOL_COMPUTED,39.362107121490865,14
2,1686167000037379402,0.012667379,16,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.01203502,1,-82.10562733462423,NARROW_INT,0,SOL_COMPUTED,39.36259993978503,16
3,1686167023039406304,0.011920813,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011410052,1,-82.10562735993184,NARROW_INT,0,SOL_COMPUTED,39.36259993836807,17
4,1686166888036168221,1.4422213,0,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,1.4391584,2,-82.08978519551432,PSRDIFF,0,SOL_COMPUTED,39.352405311880915,12
5,1686166990038795066,0.013060821,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012182331,1,-82.10563347526677,NARROW_INT,0,SOL_COMPUTED,39.36259153018585,14
0,1686166967041783829,0.015536299,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.0139749795,1,-82.10528802249608,NARROW_INT,0,SOL_COMPUTED,39.36180536567731,14
1,1686167010037326774,0.012067277,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.0115089305,1,-82.10562731394016,NARROW_INT,0,SOL_COMPUTED,39.36259994688838,17
0,1686167002137585712,0.013498368,16,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012798173,2,-82.10562731771178,NARROW_INT,0,SOL_COMPUTED,39.36259992795367,16
1,1686166997039042097,0.013669637,16,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.012478918,1,-82.10562728814595,NARROW_INT,0,SOL_COMPUTED,39.362599953909815,16
2,1686166988331336383,0.014854186,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.014166166,2,-82.10566497791618,NARROW_INT,0,SOL_COMPUTED,39.36255589787461,14
3,1686166982042055376,0.013298701,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,18,0.012092629,1,-82.10580759000084,NARROW_INT,0,SOL_COMPUTED,39.36229629192281,16
0,1686166871075727490,0.015711516,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.014195886,2,-82.08653722661231,NARROW_INT,0,SOL_COMPUTED,39.350717454369416,13
1,1686166896042304643,0.013026415,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,0.011562085,1,-82.09127773036532,NARROW_INT,0,SOL_COMPUTED,39.35319523190709,11
0,1686166877037512788,0.01506828,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.013485964,1,-82.08761427008872,NARROW_INT,0,SOL_COMPUTED,39.35128986626814,14
1,1686167020072815592,0.013118607,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.012501215,2,-82.10562728961165,NARROW_INT,0,SOL_COMPUTED,39.362599921335324,17
2,1686166966034379151,0.01511713,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.013667453,1,-82.10521417170246,NARROW_INT,0,SOL_COMPUTED,39.36169480345786,14
3,1686166937044841434,0.013101148,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.01247852,1,-82.1006068734657,NARROW_INT,0,SOL_COMPUTED,39.35805444700839,11
0,1686166957038530144,0.012763617,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.011557047,1,-82.10445327305654,NARROW_INT,0,SOL_COMPUTED,39.36045773960838,13
1,1686166930039551053,0.015968306,12,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.013394746,1,-82.09900386370094,NARROW_INT,0,SOL_COMPUTED,39.357218990859856,12
2,1686166986037861711,0.013994433,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,16,0.012764057,1,-82.10573204279484,NARROW_INT,0,SOL_COMPUTED,39.36249002644665,14
3,1686167005037359162,0.012133937,17,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011521247,1,-82.10562733910888,NARROW_INT,0,SOL_COMPUTED,39.36259995140737,17
0,1686166964034455261,0.014364175,14,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,14,0.012970208,1,-82.10505977792167,NARROW_INT,0,SOL_COMPUTED,39.361446989793535,14
1,1686166865043760126,0.0163493,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.0152539,2,-82.08527367785182,NARROW_INT,0,SOL_COMPUTED,39.349904724174955,13
2,1686166866037369591,0.01422536,11,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,15,0.013347171,1,-82.08548661014942,NARROW_INT,0,SOL_COMPUTED,39.35005410560444,14
0,1686166898037511102,0.01327653,10,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,11,0.011858571,1,-82.09169963389148,NARROW_INT,0,SOL_COMPUTED,39.3534151133075,10
1,1686167004041836931,0.012155982,16,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,17,0.011525051,1,-82.10562736308006,NARROW_INT,0,SOL_COMPUTED,39.36259997471642,16
0,1686166945039637357,0.012905347,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.012023064,1,-82.10237691939084,NARROW_INT,0,SOL_COMPUTED,39.35902222410919,13
1,1686166943034329450,0.01353658,13,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,13,0.011972072,1,-82.10193517265036,NARROW_INT,0,SOL_COMPUTED,39.35878761607909,13
0,1686166894036983772,0.013395565,10,1bbbfbae-c839-11ee-a7fc-dd032dba19e8,12,0.012529209,1,-82.09085189494525,NARROW_INT,0,SOL_COMPUTED,39.35297493662324,10
